assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,Digital Guardian,partner,Fortra,"OAuth2ClientCreds(client_id, client_secret) — REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""client_id""},{""type"":""OAuth2ClientCreds"",""name"":""client_secret""}],""config"":""REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds)"",""params"":{""client_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""client_secret"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Digital Shadows,partner,ReliaQuest,"APIKey(apikey, secret) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""APIKey"",""name"":""secret""}],""config"":""REQUIRED(APIKey, APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":0,""required"":true},""secret"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DigitalGuardianARCEventCollector,partner,Fortra,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,DNSDB_v2,partner,DomainTools,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,dnstwist,xsoar,Open Source,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,Docusign,xsoar,Docusign,"Plain(credentials, max_user_events_per_fetch, user_id) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""max_user_events_per_fetch""},{""type"":""Plain"",""name"":""user_id""}],""config"":""REQUIRED(Plain, Plain) + OPTIONAL(OAuth2AuthCode) + OPTIONAL(OAuth2ClientCreds) + OPTIONAL(OAuth2JWT)"",""params"":{""user_id"":{""type"":""Plain"",""xsoar_type"":0,""required"":true},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""max_user_events_per_fetch"":{""type"":""Plain"",""xsoar_type"":0,""required"":false}},""notes"":""Has 4 distinct auth mechanisms; OAuth2AuthCode detected in code but no explicit params; OAuth2ClientCreds detected in code but no explicit params; OAuth2JWT detected in code but no explicit params""}",,,,,,,,,,,,
,DomainTools Iris,partner,DomainTools,"APIKey(apikey) | Plain(credentials, username) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""username""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""username"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,DomainToolsIrisDetect,partner,DomainTools,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Doppel,partner,Doppel,"Plain(credentials, user_credentials) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""user_credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""user_credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,DropboxEventsCollector,xsoar,Dropbox,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2AuthCode) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2AuthCode detected in code but no explicit params; OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
